#x		y
0.000000	-1.000000
0.100000	-0.918227
0.200000	-0.811302
0.300000	-0.678856
0.400000	-0.520492
0.500000	-0.335786
0.600000	-0.124283
0.700000	0.114505
0.800000	0.381101
0.900000	0.676066
1.000000	1.000000
1.100000	1.353547
1.200000	1.737397
1.300000	2.152289
1.400000	2.599016
1.500000	3.078427
1.600000	0.097784
1.700000	0.072463
1.800000	0.052544
1.900000	0.037288
2.000000	0.025902
2.100000	0.017615
2.200000	0.011728
2.300000	0.007646
2.400000	0.004882
2.500000	0.003052
2.600000	0.001869
2.700000	0.001121
2.800000	0.000659
2.900000	0.000379
3.000000	0.000214
